model,horizon,task_type,threshold_mode,n_folds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,positive_rate_true_mean,positive_rate_true_std,positive_rate_pred_mean,positive_rate_pred_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,class_-1_f1_mean,class_-1_f1_std,class_0_f1_mean,class_0_f1_std,class_1_f1_mean,class_1_f1_std,pred_down_rate_mean,pred_down_rate_std,pred_neutral_rate_mean,pred_neutral_rate_std,pred_up_rate_mean,pred_up_rate_std,total_return_mean,total_return_std,annual_return_mean,annual_return_std,annual_volatility_mean,annual_volatility_std,sharpe_mean,sharpe_std,max_drawdown_mean,max_drawdown_std,trades_mean,trades_std,turnover_mean,turnover_std,avg_position_mean,avg_position_std,exposure_rate_mean,exposure_rate_std,no_trade_rate_mean,no_trade_rate_std,non_overlap_total_return_mean,non_overlap_total_return_std,non_overlap_annual_return_mean,non_overlap_annual_return_std,non_overlap_sharpe_mean,non_overlap_sharpe_std,non_overlap_max_drawdown_mean,non_overlap_max_drawdown_std,non_overlap_trades_mean,non_overlap_trades_std,non_overlap_n_periods_mean,non_overlap_n_periods_std
DummyStratified,10,three_class,volatility_adjusted,17,0.3417,0.0361,0.3081,0.0411,,,,,,,,,,,,,0.3127,0.0321,0.3081,0.0411,0.3018,0.0369,0.3466,0.0379,0.1579,0.0969,0.3375,0.0851,0.4101,0.058,0.1951,0.019,0.381,0.0701,0.4239,0.0648,0.4867,0.7974,0.0606,0.0996,0.0966,0.039,0.7993,0.9775,-0.2708,0.1813,62.4706,4.3029,0.4958,0.0341,0.4239,0.0648,0.4239,0.0648,0.5761,0.0648,0.0184,0.0582,0.0373,0.1108,0.5431,1.4953,-0.042,0.0382,4.3529,1.2719,13.0,0.0
DummyStratified,20,binary,fixed,17,0.5924,0.0788,0.5288,0.0407,0.7182,0.1837,0.6966,0.0247,0.6952,0.1065,0.5288,0.0407,0.705,0.1765,0.6858,0.0123,,,,,,,,,,,,,,,,,,,,,6.0031,9.7046,0.1079,0.1621,0.1194,0.064,1.2833,1.3616,-0.4167,0.3185,50.2941,0.9852,0.3992,0.0078,0.6858,0.0123,0.6858,0.0123,0.3142,0.0123,0.075,0.1326,0.1275,0.2243,1.9527,2.139,-0.0396,0.0681,4.0,0.0,7.0,0.0
DummyStratified,20,three_class,fixed,17,0.4295,0.0701,0.3183,0.0548,,,,,,,,,,,,,0.3265,0.0374,0.3183,0.0548,0.3082,0.0434,0.4507,0.0961,0.1893,0.1177,0.1622,0.085,0.5731,0.0962,0.2269,0.0209,0.1877,0.0289,0.5855,0.0318,3.1437,5.0362,0.0796,0.1343,0.1096,0.0541,1.0034,1.1704,-0.4095,0.3007,55.9412,3.051,0.444,0.0242,0.5855,0.0318,0.5855,0.0318,0.4145,0.0318,0.0418,0.0806,0.0736,0.1394,0.8718,1.7238,-0.0305,0.0318,4.4706,0.8745,7.0,0.0
DummyStratified,20,three_class,volatility_adjusted,17,0.3768,0.0572,0.3409,0.0496,,,,,,,,,,,,,0.331,0.0329,0.3261,0.0554,0.3119,0.0429,0.3904,0.0737,0.1592,0.1129,0.2907,0.0645,0.4859,0.0882,0.19,0.023,0.3203,0.0585,0.4897,0.0542,2.184,3.4204,0.0717,0.1063,0.1014,0.0512,0.9591,1.0341,-0.3682,0.2986,63.8824,3.7895,0.507,0.0301,0.4897,0.0542,0.4897,0.0542,0.5103,0.0542,0.0402,0.0694,0.0708,0.1207,0.9352,1.4644,-0.0207,0.0315,3.3529,1.8351,7.0,0.0
GradientBoostingClassifier,1,binary,fixed,17,0.4865,0.0413,0.5039,0.0425,0.563,0.073,0.4559,0.2149,0.471,0.1206,0.5098,0.062,0.5556,0.0463,0.4519,0.2107,,,,,,,,,,,,,,,,,,,,,0.0041,0.0771,0.012,0.149,0.1193,0.0694,0.5367,1.391,-0.0819,0.0675,29.4706,12.5156,0.2339,0.0993,0.4519,0.2107,0.4519,0.2107,0.5481,0.2107,0.0041,0.0771,0.012,0.149,0.5367,1.391,-0.0819,0.0675,29.4706,12.5156,126.0,0.0
GradientBoostingClassifier,1,three_class,fixed,17,0.4057,0.0865,0.3364,0.0403,,,,,,,,,,,,,0.3255,0.0555,0.3364,0.0403,0.2976,0.0482,0.3723,0.0863,0.4149,0.0832,0.0562,0.076,0.4217,0.1478,0.5233,0.1903,0.0686,0.1235,0.408,0.2339,0.0231,0.0982,0.0462,0.1935,0.1186,0.0719,0.6595,1.4556,-0.0717,0.0588,29.1765,11.0637,0.2316,0.0878,0.408,0.2339,0.408,0.2339,0.592,0.2339,0.0231,0.0982,0.0462,0.1935,0.6595,1.4556,-0.0717,0.0588,29.1765,11.0637,126.0,0.0
GradientBoostingClassifier,1,three_class,volatility_adjusted,17,0.3777,0.0499,0.3725,0.0372,,,,,,,,,,,,,0.3858,0.0619,0.3725,0.0372,0.3359,0.044,0.3542,0.0536,0.2565,0.1255,0.4785,0.1023,0.2727,0.1029,0.3403,0.2212,0.4328,0.1534,0.2269,0.1588,0.0065,0.0603,0.0147,0.1198,0.0896,0.0469,0.4926,1.303,-0.0522,0.0363,21.2941,11.666,0.169,0.0926,0.2269,0.1588,0.2269,0.1588,0.7731,0.1588,0.0065,0.0603,0.0147,0.1198,0.4926,1.303,-0.0522,0.0363,21.2941,11.666,126.0,0.0
GradientBoostingClassifier,5,binary,fixed,17,0.5117,0.1143,0.5278,0.0807,0.6127,0.2255,0.5214,0.3188,0.5143,0.231,0.5389,0.106,0.6237,0.0841,0.4967,0.3091,,,,,,,,,,,,,,,,,,,,,0.5007,0.491,0.1473,0.1422,0.1053,0.0525,1.311,1.2221,-0.1436,0.1224,14.6471,10.7293,0.1163,0.0852,0.4967,0.3091,0.4967,0.3091,0.5033,0.3091,0.0847,0.0791,0.1596,0.1437,1.5044,0.9742,-0.0345,0.0251,5.9412,4.1604,26.0,0.0
GradientBoostingClassifier,5,three_class,fixed,17,0.415,0.1159,0.3554,0.0572,,,,,,,,,,,,,0.3724,0.1002,0.3554,0.0572,0.3034,0.0635,0.387,0.0894,0.3095,0.1668,0.1108,0.133,0.4898,0.1609,0.3959,0.2695,0.1265,0.1608,0.4776,0.2837,0.3664,0.3777,0.1154,0.126,0.1132,0.051,1.1701,1.0376,-0.1836,0.1282,19.1176,8.9992,0.1517,0.0714,0.4776,0.2837,0.4776,0.2837,0.5224,0.2837,0.067,0.0784,0.1278,0.142,1.274,1.1652,-0.0425,0.0298,6.1765,1.6672,26.0,0.0
GradientBoostingClassifier,5,three_class,volatility_adjusted,17,0.3609,0.0691,0.3779,0.0557,,,,,,,,,,,,,0.3873,0.089,0.3779,0.0557,0.3223,0.0737,0.3333,0.0814,0.25,0.1507,0.4446,0.0976,0.2723,0.1289,0.3016,0.2208,0.4762,0.2104,0.2222,0.1815,0.0806,0.2364,0.0271,0.0884,0.0893,0.0574,0.4832,0.7911,-0.1658,0.1573,17.2353,8.6785,0.1368,0.0689,0.2222,0.1815,0.2222,0.1815,0.7778,0.1815,0.0099,0.0602,0.0208,0.1162,0.3596,1.2951,-0.046,0.0513,5.4706,2.9816,26.0,0.0
