fold_id,horizon,task_type,threshold_mode,threshold_value,vol_k,accuracy,balanced_accuracy,train_size,test_size,train_start,train_end,test_start,test_end,precision,recall,f1,roc_auc,positive_rate_true,positive_rate_pred,model,total_return,annual_return,annual_volatility,sharpe,max_drawdown,trades,turnover,avg_position,exposure_rate,no_trade_rate,non_overlap_total_return,non_overlap_annual_return,non_overlap_sharpe,non_overlap_max_drawdown,non_overlap_trades,non_overlap_n_periods,macro_precision,macro_recall,macro_f1,weighted_f1,class_-1_f1,class_0_f1,class_1_f1,pred_down_rate,pred_neutral_rate,pred_up_rate
8,1,binary,fixed,0.0,,0.5714,0.5,1508,126,2015-03-30,2021-03-24,2021-03-25,2021-09-22,0.5714,1.0,0.7273,0.4622,0.5714,1.0,LogisticRegression,0.144,0.275,0.1072,2.5666,-0.0401,1,0.0079,1.0,1.0,0.0,0.144,0.275,2.5666,-0.0401,1,126,,,,,,,,,,
8,1,binary,fixed,0.0,,0.4841,0.5347,1508,126,2015-03-30,2021-03-24,2021-03-25,2021-09-22,0.6842,0.1806,0.2857,0.5895,0.5714,0.1508,RandomForestClassifier,0.0364,0.0728,0.0517,1.4085,-0.0308,29,0.2302,0.1508,0.1508,0.8492,0.0364,0.0728,1.4085,-0.0308,29,126,,,,,,,,,,
8,1,binary,fixed,0.0,,0.5794,0.5764,1508,126,2015-03-30,2021-03-24,2021-03-25,2021-09-22,0.6418,0.5972,0.6187,0.5728,0.5714,0.5317,GradientBoostingClassifier,0.119,0.2268,0.0614,3.6931,-0.0148,47,0.373,0.5317,0.5317,0.4683,0.119,0.2268,3.6931,-0.0148,47,126,,,,,,,,,,
9,1,binary,fixed,0.0,,0.5238,0.5,1634,126,2015-03-30,2021-09-22,2021-09-23,2022-03-23,0.5238,1.0,0.6875,0.5,0.5238,1.0,DummyMostFrequent,0.0227,0.0612,0.1802,0.3395,-0.1287,1,0.0079,1.0,1.0,0.0,0.0227,0.0612,0.3395,-0.1287,1,126,,,,,,,,,,
9,1,binary,fixed,0.0,,0.5079,0.5038,1634,126,2015-03-30,2021-09-22,2021-09-23,2022-03-23,0.527,0.5909,0.5571,0.5038,0.5238,0.5873,DummyStratified,-0.0404,-0.0735,0.1345,-0.5463,-0.1308,51,0.4048,0.5873,0.5873,0.4127,-0.0404,-0.0735,-0.5463,-0.1308,51,126,,,,,,,,,,
9,1,binary,fixed,0.0,,0.5238,0.5,1634,126,2015-03-30,2021-09-22,2021-09-23,2022-03-23,0.5238,1.0,0.6875,0.529,0.5238,1.0,LogisticRegression,0.0227,0.0612,0.1802,0.3395,-0.1287,1,0.0079,1.0,1.0,0.0,0.0227,0.0612,0.3395,-0.1287,1,126,,,,,,,,,,
9,1,binary,fixed,0.0,,0.4524,0.4614,1634,126,2015-03-30,2021-09-22,2021-09-23,2022-03-23,0.4615,0.2727,0.3429,0.4533,0.5238,0.3095,RandomForestClassifier,0.0023,0.0121,0.1223,0.0993,-0.0637,23,0.1825,0.3095,0.3095,0.6905,0.0023,0.0121,0.0993,-0.0637,23,126,,,,,,,,,,
9,1,binary,fixed,0.0,,0.4841,0.4924,1634,126,2015-03-30,2021-09-22,2021-09-23,2022-03-23,0.5122,0.3182,0.3925,0.5005,0.5238,0.3254,GradientBoostingClassifier,0.0377,0.0806,0.115,0.7015,-0.0468,17,0.1349,0.3254,0.3254,0.6746,0.0377,0.0806,0.7015,-0.0468,17,126,,,,,,,,,,
10,1,binary,fixed,0.0,,0.4603,0.5,1760,126,2015-03-30,2022-03-23,2022-03-24,2022-09-22,0.4603,1.0,0.6304,0.5,0.4603,1.0,DummyMostFrequent,-0.1767,-0.3578,0.2478,-1.4437,-0.2056,1,0.0079,1.0,1.0,0.0,-0.1767,-0.3578,-1.4437,-0.2056,1,126,,,,,,,,,,
10,1,binary,fixed,0.0,,0.5079,0.515,1760,126,2015-03-30,2022-03-23,2022-03-24,2022-09-22,0.473,0.6034,0.5303,0.515,0.4603,0.5873,DummyStratified,-0.1669,-0.3452,0.1981,-1.7422,-0.175,51,0.4048,0.5873,0.5873,0.4127,-0.1669,-0.3452,-1.7422,-0.175,51,126,,,,,,,,,,
10,1,binary,fixed,0.0,,0.4603,0.5,1760,126,2015-03-30,2022-03-23,2022-03-24,2022-09-22,0.4603,1.0,0.6304,0.4607,0.4603,1.0,LogisticRegression,-0.1767,-0.3578,0.2478,-1.4437,-0.2056,1,0.0079,1.0,1.0,0.0,-0.1767,-0.3578,-1.4437,-0.2056,1,126,,,,,,,,,,
10,1,binary,fixed,0.0,,0.5238,0.5436,1760,126,2015-03-30,2022-03-23,2022-03-24,2022-09-22,0.4894,0.7931,0.6053,0.5304,0.4603,0.746,RandomForestClassifier,-0.1369,-0.2697,0.2219,-1.2155,-0.1741,35,0.2778,0.746,0.746,0.254,-0.1369,-0.2697,-1.2155,-0.1741,35,126,,,,,,,,,,
10,1,binary,fixed,0.0,,0.5238,0.5474,1760,126,2015-03-30,2022-03-23,2022-03-24,2022-09-22,0.49,0.8448,0.6203,0.5605,0.4603,0.7937,GradientBoostingClassifier,-0.1418,-0.2817,0.2186,-1.2888,-0.1984,41,0.3254,0.7937,0.7937,0.2063,-0.1418,-0.2817,-1.2888,-0.1984,41,126,,,,,,,,,,
11,1,binary,fixed,0.0,,0.4603,0.5,1886,126,2015-03-30,2022-09-22,2022-09-23,2023-03-24,0.4603,1.0,0.6304,0.5,0.4603,1.0,DummyMostFrequent,0.0861,0.1883,0.2153,0.8743,-0.0754,1,0.0079,1.0,1.0,0.0,0.0861,0.1883,0.8743,-0.0754,1,126,,,,,,,,,,
11,1,binary,fixed,0.0,,0.5159,0.5223,1886,126,2015-03-30,2022-09-22,2022-09-23,2023-03-24,0.4795,0.6034,0.5344,0.5223,0.4603,0.5794,DummyStratified,0.0284,0.0693,0.1631,0.425,-0.074,53,0.4206,0.5794,0.5794,0.4206,0.0284,0.0693,0.425,-0.074,53,126,,,,,,,,,,
11,1,binary,fixed,0.0,,0.5397,0.5,1886,126,2015-03-30,2022-09-22,2022-09-23,2023-03-24,0.0,0.0,0.0,0.4658,0.4603,0.0,LogisticRegression,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,126,,,,,,,,,,
11,1,binary,fixed,0.0,,0.5238,0.5322,1886,126,2015-03-30,2022-09-22,2022-09-23,2023-03-24,0.4868,0.6379,0.5522,0.5411,0.4603,0.6032,RandomForestClassifier,0.0837,0.1785,0.1887,0.9458,-0.0651,56,0.4444,0.6032,0.6032,0.3968,0.0837,0.1785,0.9458,-0.0651,56,126,,,,,,,,,,
11,1,binary,fixed,0.0,,0.5159,0.5388,1886,126,2015-03-30,2022-09-22,2022-09-23,2023-03-24,0.4848,0.8276,0.6115,0.5505,0.4603,0.7857,GradientBoostingClassifier,0.0635,0.1393,0.1798,0.7748,-0.0718,35,0.2778,0.7857,0.7857,0.2143,0.0635,0.1393,0.7748,-0.0718,35,126,,,,,,,,,,
12,1,binary,fixed,0.0,,0.5397,0.5,2012,126,2015-03-30,2023-03-24,2023-03-27,2023-09-25,0.5397,1.0,0.701,0.5,0.5397,1.0,DummyMostFrequent,0.0814,0.1632,0.1159,1.4078,-0.0664,1,0.0079,1.0,1.0,0.0,0.0814,0.1632,1.4078,-0.0664,1,126,,,,,,,,,,
12,1,binary,fixed,0.0,,0.4127,0.4064,2012,126,2015-03-30,2023-03-24,2023-03-27,2023-09-25,0.4583,0.4853,0.4714,0.4064,0.5397,0.5714,DummyStratified,-0.0507,-0.0997,0.0927,-1.0757,-0.0523,55,0.4365,0.5714,0.5714,0.4286,-0.0507,-0.0997,-1.0757,-0.0523,55,126,,,,,,,,,,
12,1,binary,fixed,0.0,,0.4603,0.5,2012,126,2015-03-30,2023-03-24,2023-03-27,2023-09-25,0.0,0.0,0.0,0.391,0.5397,0.0,LogisticRegression,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,126,,,,,,,,,,
12,1,binary,fixed,0.0,,0.5952,0.5996,2012,126,2015-03-30,2023-03-24,2023-03-27,2023-09-25,0.6491,0.5441,0.592,0.5593,0.5397,0.4524,RandomForestClassifier,0.0577,0.1162,0.0901,1.2899,-0.0535,49,0.3889,0.4524,0.4524,0.5476,0.0577,0.1162,1.2899,-0.0535,49,126,,,,,,,,,,
12,1,binary,fixed,0.0,,0.4841,0.4663,2012,126,2015-03-30,2023-03-24,2023-03-27,2023-09-25,0.5165,0.6912,0.5912,0.534,0.5397,0.7222,GradientBoostingClassifier,0.0327,0.0698,0.1038,0.6722,-0.0656,30,0.2381,0.7222,0.7222,0.2778,0.0327,0.0698,0.6722,-0.0656,30,126,,,,,,,,,,
13,1,binary,fixed,0.0,,0.5873,0.5,2138,126,2015-03-30,2023-09-25,2023-09-26,2024-03-26,0.5873,1.0,0.74,0.5,0.5873,1.0,DummyMostFrequent,0.2366,0.4316,0.1138,3.792,-0.0588,1,0.0079,1.0,1.0,0.0,0.2366,0.4316,3.792,-0.0588,1,126,,,,,,,,,,
13,1,binary,fixed,0.0,,0.4444,0.4298,2138,126,2015-03-30,2023-09-25,2023-09-26,2024-03-26,0.5278,0.5135,0.5205,0.4298,0.5873,0.5714,DummyStratified,0.0262,0.0553,0.0854,0.6478,-0.0454,55,0.4365,0.5714,0.5714,0.4286,0.0262,0.0553,0.6478,-0.0454,55,126,,,,,,,,,,
13,1,binary,fixed,0.0,,0.4127,0.5,2138,126,2015-03-30,2023-09-25,2023-09-26,2024-03-26,0.0,0.0,0.0,0.5257,0.5873,0.0,LogisticRegression,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,126,,,,,,,,,,
13,1,binary,fixed,0.0,,0.4048,0.4475,2138,126,2015-03-30,2023-09-25,2023-09-26,2024-03-26,0.4839,0.2027,0.2857,0.4558,0.5873,0.246,RandomForestClassifier,0.0209,0.0441,0.0733,0.601,-0.0588,12,0.0952,0.246,0.246,0.754,0.0209,0.0441,0.601,-0.0588,12,126,,,,,,,,,,
13,1,binary,fixed,0.0,,0.4048,0.4418,2138,126,2015-03-30,2023-09-25,2023-09-26,2024-03-26,0.4857,0.2297,0.3119,0.4945,0.5873,0.2778,GradientBoostingClassifier,0.016,0.0342,0.0694,0.4924,-0.0588,18,0.1429,0.2778,0.2778,0.7222,0.016,0.0342,0.4924,-0.0588,18,126,,,,,,,,,,
14,1,binary,fixed,0.0,,0.6111,0.5,2264,126,2015-03-30,2024-03-26,2024-03-27,2024-09-25,0.6111,1.0,0.7586,0.5,0.6111,1.0,DummyMostFrequent,0.1003,0.2,0.1331,1.5024,-0.0841,1,0.0079,1.0,1.0,0.0,0.1003,0.2,1.5024,-0.0841,1,126,,,,,,,,,,
14,1,binary,fixed,0.0,,0.4762,0.4564,2264,126,2015-03-30,2024-03-26,2024-03-27,2024-09-25,0.5753,0.5455,0.56,0.4564,0.6111,0.5794,DummyStratified,0.0262,0.0558,0.0895,0.6238,-0.0548,53,0.4206,0.5794,0.5794,0.4206,0.0262,0.0558,0.6238,-0.0548,53,126,,,,,,,,,,
14,1,binary,fixed,0.0,,0.3889,0.5,2264,126,2015-03-30,2024-03-26,2024-03-27,2024-09-25,0.0,0.0,0.0,0.525,0.6111,0.0,LogisticRegression,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,126,,,,,,,,,,
