fold_id,threshold,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,class_-1_precision,class_-1_recall,class_-1_f1,class_0_precision,class_0_recall,class_0_f1,class_1_precision,class_1_recall,class_1_f1,true_down_rate,true_neutral_rate,true_up_rate,pred_down_rate,pred_neutral_rate,pred_up_rate,train_size,test_size,train_start,train_end,test_start,test_end,model,total_return,annual_return,annual_volatility,sharpe,max_drawdown,trades,turnover,avg_position,exposure_rate,no_trade_rate
5,0.0005,0.5317,0.3333,0.1772,0.3333,0.2314,0.3692,0.0,0.0,0.0,0.0,0.0,0.0,0.5317,1.0,0.6943,0.3968,0.0714,0.5317,0.0,0.0,1.0,1130,126,2015-03-30,2019-09-23,2019-09-24,2020-03-24,DummyMostFrequent,-0.1573,-0.2709,0.3742,-0.7239,-0.3372,1,0.0079,1.0,1.0,0.0
5,0.0005,0.4921,0.3524,0.3576,0.3524,0.3541,0.498,0.4727,0.52,0.4952,0.0,0.0,0.0,0.6,0.5373,0.5669,0.3968,0.0714,0.5317,0.4365,0.0873,0.4762,1130,126,2015-03-30,2019-09-23,2019-09-24,2020-03-24,DummyStratified,0.3221,0.5885,0.2464,2.3882,-0.0535,64,0.5079,0.4762,0.4762,0.5238
5,0.0005,0.127,0.3682,0.1648,0.3682,0.1064,0.0995,0.0,0.0,0.0,0.0826,1.0,0.1525,0.4118,0.1045,0.1667,0.3968,0.0714,0.5317,0.0,0.8651,0.1349,1130,126,2015-03-30,2019-09-23,2019-09-24,2020-03-24,LogisticRegression,-0.1973,-0.3784,0.3456,-1.0948,-0.2832,1,0.0079,0.1349,0.1349,0.8651
5,0.0005,0.3651,0.3083,0.3241,0.3083,0.2921,0.3525,0.3294,0.56,0.4148,0.1429,0.1111,0.125,0.5,0.2537,0.3366,0.3968,0.0714,0.5317,0.6746,0.0556,0.2698,1130,126,2015-03-30,2019-09-23,2019-09-24,2020-03-24,RandomForestClassifier,-0.1858,-0.3455,0.3588,-0.963,-0.282,15,0.119,0.2698,0.2698,0.7302
5,0.0005,0.3968,0.3383,0.3671,0.3383,0.3114,0.3668,0.3656,0.68,0.4755,0.2,0.1111,0.1429,0.5357,0.2239,0.3158,0.3968,0.0714,0.5317,0.7381,0.0397,0.2222,1130,126,2015-03-30,2019-09-23,2019-09-24,2020-03-24,GradientBoostingClassifier,-0.104,-0.1727,0.3036,-0.5689,-0.1835,12,0.0952,0.2222,0.2222,0.7778
6,0.0005,0.6032,0.3333,0.2011,0.3333,0.2508,0.4539,0.0,0.0,0.0,0.0,0.0,0.0,0.6032,1.0,0.7525,0.3651,0.0317,0.6032,0.0,0.0,1.0,1256,126,2015-03-30,2020-03-24,2020-03-25,2020-09-22,DummyMostFrequent,0.3177,0.5882,0.2678,2.1966,-0.0944,1,0.0079,1.0,1.0,0.0
6,0.0005,0.4762,0.3261,0.3444,0.3261,0.3315,0.4961,0.4,0.4783,0.4356,0.0,0.0,0.0,0.6333,0.5,0.5588,0.3651,0.0317,0.6032,0.4365,0.0873,0.4762,1256,126,2015-03-30,2020-03-24,2020-03-25,2020-09-22,DummyStratified,0.0921,0.1882,0.1544,1.2193,-0.0627,64,0.5079,0.4762,0.4762,0.5238
6,0.0005,0.2143,0.2317,0.3134,0.2317,0.2045,0.2802,0.3871,0.2609,0.3117,0.0145,0.25,0.0274,0.5385,0.1842,0.2745,0.3651,0.0317,0.6032,0.246,0.5476,0.2063,1256,126,2015-03-30,2020-03-24,2020-03-25,2020-09-22,LogisticRegression,0.0349,0.0735,0.0992,0.7411,-0.0385,4,0.0317,0.2063,0.2063,0.7937
6,0.0005,0.4524,0.3444,0.381,0.3444,0.3174,0.4534,0.3929,0.7174,0.5077,0.0,0.0,0.0,0.75,0.3158,0.4444,0.3651,0.0317,0.6032,0.6667,0.0794,0.254,1256,126,2015-03-30,2020-03-24,2020-03-25,2020-09-22,RandomForestClassifier,0.2749,0.5,0.1674,2.9867,-0.046,36,0.2857,0.254,0.254,0.746
6,0.0005,0.4603,0.442,0.4449,0.442,0.3578,0.4357,0.4086,0.8261,0.5468,0.1,0.25,0.1429,0.8261,0.25,0.3838,0.3651,0.0317,0.6032,0.7381,0.0794,0.1825,1256,126,2015-03-30,2020-03-24,2020-03-25,2020-09-22,GradientBoostingClassifier,0.2599,0.4717,0.1387,3.4008,-0.0154,24,0.1905,0.1825,0.1825,0.8175
7,0.0005,0.5397,0.3333,0.1799,0.3333,0.2337,0.3783,0.0,0.0,0.0,0.0,0.0,0.0,0.5397,1.0,0.701,0.4127,0.0476,0.5397,0.0,0.0,1.0,1382,126,2015-03-30,2020-09-22,2020-09-23,2021-03-24,DummyMostFrequent,0.2164,0.4047,0.159,2.5447,-0.0735,1,0.0079,1.0,1.0,0.0
7,0.0005,0.4127,0.3372,0.3245,0.3372,0.3275,0.419,0.3818,0.4038,0.3925,0.1,0.1667,0.125,0.4918,0.4412,0.4651,0.4127,0.0476,0.5397,0.4365,0.0794,0.4841,1382,126,2015-03-30,2020-09-22,2020-09-23,2021-03-24,DummyStratified,0.0199,0.0464,0.1186,0.3914,-0.06,64,0.5079,0.4841,0.4841,0.5159
7,0.0005,0.0476,0.3333,0.0159,0.3333,0.0303,0.0043,0.0,0.0,0.0,0.0476,1.0,0.0909,0.0,0.0,0.0,0.4127,0.0476,0.5397,0.0,1.0,0.0,1382,126,2015-03-30,2020-09-22,2020-09-23,2021-03-24,LogisticRegression,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0
7,0.0005,0.3889,0.2915,0.2688,0.2915,0.2567,0.3548,0.3778,0.6538,0.4789,0.0,0.0,0.0,0.4286,0.2206,0.2913,0.4127,0.0476,0.5397,0.7143,0.0079,0.2778,1382,126,2015-03-30,2020-09-22,2020-09-23,2021-03-24,RandomForestClassifier,-0.0542,-0.109,0.0691,-1.5781,-0.0704,28,0.2222,0.2778,0.2778,0.7222
7,0.0005,0.4365,0.3028,0.2882,0.3028,0.2951,0.427,0.3793,0.4231,0.4,0.0,0.0,0.0,0.4853,0.4853,0.4853,0.4127,0.0476,0.5397,0.4603,0.0,0.5397,1382,126,2015-03-30,2020-09-22,2020-09-23,2021-03-24,GradientBoostingClassifier,-0.0039,-0.0021,0.1071,-0.0196,-0.0688,34,0.2698,0.5397,0.5397,0.4603
8,0.0005,0.5476,0.3333,0.1825,0.3333,0.2359,0.3875,0.0,0.0,0.0,0.0,0.0,0.0,0.5476,1.0,0.7077,0.3889,0.0635,0.5476,0.0,0.0,1.0,1508,126,2015-03-30,2021-03-24,2021-03-25,2021-09-22,DummyMostFrequent,0.144,0.275,0.1072,2.5666,-0.0401,1,0.0079,1.0,1.0,0.0
8,0.0005,0.5556,0.3934,0.3955,0.3934,0.3932,0.5605,0.5091,0.5714,0.5385,0.0,0.0,0.0,0.6774,0.6087,0.6412,0.3889,0.0635,0.5476,0.4365,0.0714,0.4921,1508,126,2015-03-30,2021-03-24,2021-03-25,2021-09-22,DummyStratified,0.1437,0.271,0.068,3.9862,-0.0184,64,0.5079,0.4921,0.4921,0.5079
8,0.0005,0.0635,0.3333,0.0212,0.3333,0.0398,0.0076,0.0,0.0,0.0,0.0635,1.0,0.1194,0.0,0.0,0.0,0.3889,0.0635,0.5476,0.0,1.0,0.0,1508,126,2015-03-30,2021-03-24,2021-03-25,2021-09-22,LogisticRegression,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0
8,0.0005,0.3651,0.3919,0.3387,0.3919,0.3346,0.3386,0.3659,0.6122,0.458,0.2308,0.375,0.2857,0.4194,0.1884,0.26,0.3889,0.0635,0.5476,0.6508,0.1032,0.246,1508,126,2015-03-30,2021-03-24,2021-03-25,2021-09-22,RandomForestClassifier,-0.0452,-0.0899,0.0713,-1.2609,-0.0624,30,0.2381,0.246,0.246,0.754
8,0.0005,0.5317,0.4216,0.4299,0.4216,0.417,0.5311,0.4627,0.6327,0.5345,0.1667,0.125,0.1429,0.6604,0.5072,0.5738,0.3889,0.0635,0.5476,0.5317,0.0476,0.4206,1508,126,2015-03-30,2021-03-24,2021-03-25,2021-09-22,GradientBoostingClassifier,0.1186,0.226,0.0589,3.8398,-0.0148,49,0.3889,0.4206,0.4206,0.5794
9,0.0005,0.5,0.3333,0.1667,0.3333,0.2222,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.6667,0.4603,0.0397,0.5,0.0,0.0,1.0,1634,126,2015-03-30,2021-09-22,2021-09-23,2022-03-23,DummyMostFrequent,0.0227,0.0612,0.1802,0.3395,-0.1287,1,0.0079,1.0,1.0,0.0
9,0.0005,0.4286,0.3571,0.337,0.3571,0.3427,0.4329,0.4,0.3793,0.3894,0.1111,0.2,0.1429,0.5,0.4921,0.496,0.4603,0.0397,0.5,0.4365,0.0714,0.4921,1634,126,2015-03-30,2021-09-22,2021-09-23,2022-03-23,DummyStratified,-0.0376,-0.0688,0.1261,-0.5455,-0.1148,64,0.5079,0.4921,0.4921,0.5079
9,0.0005,0.1825,0.3672,0.1777,0.3672,0.1532,0.1897,0.0,0.0,0.0,0.046,0.8,0.087,0.4872,0.3016,0.3725,0.4603,0.0397,0.5,0.0,0.6905,0.3095,1634,126,2015-03-30,2021-09-22,2021-09-23,2022-03-23,LogisticRegression,0.0474,0.1014,0.1331,0.7621,-0.0902,1,0.0079,0.3095,0.3095,0.6905
9,0.0005,0.4206,0.2895,0.2806,0.2895,0.2845,0.4125,0.3704,0.3448,0.3571,0.0,0.0,0.0,0.4714,0.5238,0.4962,0.4603,0.0397,0.5,0.4286,0.0159,0.5556,1634,126,2015-03-30,2021-09-22,2021-09-23,2022-03-23,RandomForestClassifier,0.0398,0.0889,0.1466,0.6062,-0.0767,45,0.3571,0.5556,0.5556,0.4444
9,0.0005,0.4762,0.3339,0.3221,0.3339,0.3206,0.4601,0.4557,0.6207,0.5255,0.0,0.0,0.0,0.5106,0.381,0.4364,0.4603,0.0397,0.5,0.627,0.0,0.373,1634,126,2015-03-30,2021-09-22,2021-09-23,2022-03-23,GradientBoostingClassifier,0.0421,0.0899,0.1214,0.7405,-0.0728,7,0.0556,0.373,0.373,0.627
10,0.0005,0.4444,0.3333,0.1481,0.3333,0.2051,0.2735,0.0,0.0,0.0,0.0,0.0,0.0,0.4444,1.0,0.6154,0.5317,0.0238,0.4444,0.0,0.0,1.0,1760,126,2015-03-30,2022-03-23,2022-03-24,2022-09-22,DummyMostFrequent,-0.1767,-0.3578,0.2478,-1.4437,-0.2056,1,0.0079,1.0,1.0,0.0
10,0.0005,0.3968,0.2712,0.2873,0.2712,0.2775,0.4086,0.4909,0.403,0.4426,0.0,0.0,0.0,0.371,0.4107,0.3898,0.5317,0.0238,0.4444,0.4365,0.0714,0.4921,1760,126,2015-03-30,2022-03-23,2022-03-24,2022-09-22,DummyStratified,-0.233,-0.5142,0.1772,-2.9022,-0.233,64,0.5079,0.4921,0.4921,0.5079
10,0.0005,0.3016,0.4365,0.1645,0.4365,0.2037,0.2372,0.0,0.0,0.0,0.0435,0.6667,0.0816,0.45,0.6429,0.5294,0.5317,0.0238,0.4444,0.0,0.3651,0.6349,1760,126,2015-03-30,2022-03-23,2022-03-24,2022-09-22,LogisticRegression,-0.1326,-0.2622,0.2096,-1.2511,-0.179,5,0.0397,0.6349,0.6349,0.3651
10,0.0005,0.5079,0.3546,0.3456,0.3546,0.3406,0.4951,0.5625,0.403,0.4696,0.0,0.0,0.0,0.4744,0.6607,0.5522,0.5317,0.0238,0.4444,0.381,0.0,0.619,1760,126,2015-03-30,2022-03-23,2022-03-24,2022-09-22,RandomForestClassifier,-0.1072,-0.2077,0.1942,-1.0695,-0.1374,41,0.3254,0.619,0.619,0.381
10,0.0005,0.4683,0.3356,0.3271,0.3356,0.2986,0.4269,0.5333,0.2388,0.3299,0.0,0.0,0.0,0.4479,0.7679,0.5658,0.5317,0.0238,0.4444,0.2381,0.0,0.7619,1760,126,2015-03-30,2022-03-23,2022-03-24,2022-09-22,GradientBoostingClassifier,-0.1932,-0.4046,0.2199,-1.8403,-0.2121,33,0.2619,0.7619,0.7619,0.2381
11,0.0005,0.4524,0.3333,0.1508,0.3333,0.2077,0.2818,0.0,0.0,0.0,0.0,0.0,0.0,0.4524,1.0,0.623,0.5238,0.0238,0.4524,0.0,0.0,1.0,1886,126,2015-03-30,2022-09-22,2022-09-23,2023-03-24,DummyMostFrequent,0.0861,0.1883,0.2153,0.8743,-0.0754,1,0.0079,1.0,1.0,0.0
11,0.0005,0.4365,0.407,0.3445,0.407,0.3558,0.4409,0.4545,0.3788,0.4132,0.1111,0.3333,0.1667,0.4677,0.5088,0.4874,0.5238,0.0238,0.4524,0.4365,0.0714,0.4921,1886,126,2015-03-30,2022-09-22,2022-09-23,2023-03-24,DummyStratified,-0.0224,-0.0365,0.133,-0.2743,-0.0823,64,0.5079,0.4921,0.4921,0.5079
11,0.0005,0.5238,0.3333,0.1746,0.3333,0.2292,0.3601,0.5238,1.0,0.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.5238,0.0238,0.4524,1.0,0.0,0.0,1886,126,2015-03-30,2022-09-22,2022-09-23,2023-03-24,LogisticRegression,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0
11,0.0005,0.4603,0.3089,0.3013,0.3089,0.3029,0.4488,0.4872,0.5758,0.5278,0.0,0.0,0.0,0.4167,0.3509,0.381,0.5238,0.0238,0.4524,0.619,0.0,0.381,1886,126,2015-03-30,2022-09-22,2022-09-23,2023-03-24,RandomForestClassifier,-0.0291,-0.0477,0.1511,-0.3157,-0.0922,42,0.3333,0.381,0.381,0.619
11,0.0005,0.4365,0.3113,0.2976,0.3113,0.2728,0.39,0.4643,0.197,0.2766,0.0,0.0,0.0,0.4286,0.7368,0.5419,0.5238,0.0238,0.4524,0.2222,0.0,0.7778,1886,126,2015-03-30,2022-09-22,2022-09-23,2023-03-24,GradientBoostingClassifier,-0.0397,-0.0656,0.1762,-0.3723,-0.0835,39,0.3095,0.7778,0.7778,0.2222
12,0.0005,0.4841,0.3333,0.1614,0.3333,0.2175,0.3158,0.0,0.0,0.0,0.0,0.0,0.0,0.4841,1.0,0.6524,0.4444,0.0714,0.4841,0.0,0.0,1.0,2012,126,2015-03-30,2023-03-24,2023-03-27,2023-09-25,DummyMostFrequent,0.0814,0.1632,0.1159,1.4078,-0.0664,1,0.0079,1.0,1.0,0.0
